Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,update_date
229.0,Luke Kornet,30.0,SAS,C,32.0,22.0,24.7,3.1,4.8,0.658,0.0,0.0,,3.1,4.8,0.658,0.658,2.0,2.4,0.829,3.2,3.8,6.9,2.0,0.4,1.3,0.5,2.1,8.2,,2026-01-14
230.0,Tre Mann,24.0,CHO,PG,26.0,1.0,17.6,3.1,8.3,0.373,1.4,4.3,0.321,1.7,4.0,0.429,0.456,0.6,0.7,0.882,0.7,1.8,2.5,2.3,0.5,0.1,1.4,1.9,8.2,,2026-01-14
231.0,Bogdan Bogdanović,33.0,LAC,SG,16.0,3.0,22.5,2.8,7.3,0.376,1.5,4.5,0.333,1.3,2.8,0.444,0.479,1.0,1.2,0.842,0.3,2.6,2.9,2.7,0.5,0.1,1.2,2.5,8.0,,2026-01-14
232.0,Kris Dunn,31.0,LAC,PG,39.0,33.0,27.2,3.1,6.3,0.482,1.1,3.1,0.364,1.9,3.2,0.595,0.571,0.7,1.0,0.763,0.8,2.0,2.8,3.1,1.5,0.2,1.3,2.3,8.0,,2026-01-14
233.0,Simone Fontecchio,30.0,MIA,SF,37.0,1.0,16.1,2.6,6.6,0.389,1.7,4.7,0.364,0.9,1.9,0.451,0.518,1.2,1.5,0.8,0.5,2.2,2.7,1.4,0.5,0.1,0.9,1.4,8.0,,2026-01-14
234.0,Bryce McGowens,23.0,NOP,SG,26.0,11.0,19.9,2.6,5.5,0.479,0.9,1.9,0.469,1.7,3.6,0.484,0.56,1.8,2.5,0.75,0.3,1.7,2.1,1.4,0.7,0.2,0.5,1.8,8.0,,2026-01-14
235.0,Moritz Wagner,28.0,ORL,C,1.0,0.0,10.0,3.0,7.0,0.429,0.0,2.0,0.0,3.0,5.0,0.6,0.429,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,,2026-01-14
236.0,Grant Williams,27.0,CHO,PF,2.0,0.0,13.5,2.5,6.5,0.385,2.0,6.0,0.333,0.5,0.5,1.0,0.538,1.0,1.5,0.667,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,,2026-01-14
237.0,Jose Alvarado,27.0,NOP,PG,35.0,0.0,22.2,2.9,6.8,0.424,1.6,4.4,0.361,1.3,2.4,0.542,0.542,0.5,0.7,0.826,0.4,2.4,2.8,3.3,1.0,0.1,1.3,2.1,7.9,,2026-01-14
238.0,Daniel Gafford,27.0,DAL,C,28.0,19.0,20.9,3.1,4.9,0.623,0.0,0.0,,3.1,4.9,0.623,0.623,1.8,2.3,0.778,1.9,4.4,6.4,0.9,0.8,1.4,1.4,2.6,7.9,,2026-01-14
